"city","cityname","countryname","Region","pop","gdp","lat","long","kgclzone","MeanST","IQR","Range","hwscore","hwclass","period","year","hwi","hws","hwc","die","tmean","coef1","coef2","coef3","coef4","vcov1","vcov2","vcov3","vcov4","vcov5","vcov6","vcov7","vcov8","vcov9","vcov10"
"bern.sui9513","Bern","Switzerland","Western Europe",130000,38864,"46.9482713","7.4514512","Cfb","16.2","5.6","22.3",17,2,"1999-2001",2000,7.7,0,0,1753,16.676688453159,0.132286103745206,-0.0750915772056722,0.402069197976272,-1.79017962491,2.45081820765213,1.66455342228018,2.26652911475624,0.437881464718733,1.18609300349193,1.52742857737706,0.503640449534027,2.20257247108675,-0.212361394340364,10.2817228677309
"bern.sui9513","Bern","Switzerland","Western Europe",130000,38864,"46.9482713","7.4514512","Cfb","16.2","5.6","22.3",17,2,"2002-2004",2003,60.3,0,0,1731,16.6076252723312,0.702305209038993,0.313751959742089,0.150239855701681,0.745462001121792,0.692063941936422,0.416096187581135,0.597714971729592,0.429073843661677,0.347230893250275,0.381285893142081,0.360167114638014,0.572097964845984,0.354759069647111,0.497492131308558
"bern.sui9513","Bern","Switzerland","Western Europe",130000,38864,"46.9482713","7.4514512","Cfb","16.2","5.6","22.3",17,2,"2005-2007",2006,28.8,1,2,1595,16.2533769063181,-0.246240757484596,-0.306665380260348,0.0286561484340476,0.138880973340437,0.9921110505553,0.578515926802163,0.864623740382288,0.443304374071041,0.422855057209038,0.482976574606333,0.454145512260699,0.861291313519668,0.124749167082644,1.65395879763814
"bern.sui9513","Bern","Switzerland","Western Europe",130000,38864,"46.9482713","7.4514512","Cfb","16.2","5.6","22.3",17,2,"2008-2010",2009,20.3,1,2,1555,16.2472766884532,1.10483749069245,0.829506529471807,1.42833464131372,-2.97052336348985,0.917272928860946,0.435535315114919,0.819511780959421,-0.0457581402034445,0.3013082401253,0.402483030329108,0.15254236605849,0.889019051829529,-0.548042136195597,3.60328031210528
"bern.sui9513","Bern","Switzerland","Western Europe",130000,38864,"46.9482713","7.4514512","Cfb","16.2","5.6","22.3",17,2,"2011-2013",2012,41.3000007629395,1,2,1683,16.423965135379,0.298264899270311,0.0902609810602022,0.75696568534193,-0.995300036762401,0.745463499291708,0.355503217670505,0.7156459675335,0.0212661558163614,0.230278268818964,0.327409755497445,0.148988824852181,0.9082773248674,-0.412663399475307,1.50328103154891
"genv.sui9513","Geneve","Switzerland","Western Europe",195000,38864,"46.2017559","6.1466014","Cfb","17.9","5.7","23.3",17,2,"1996-1998",1997,14.4,0,0,1699,17.3148148148148,0.28679402625822,0.283423142922331,-0.659522890551871,3.4728083332913,1.21174680879883,0.750732316520107,1.26374750900343,-0.0735853457075621,0.540554043324003,0.749709914630438,0.214217786172979,1.49927871433807,-0.656252689411102,3.53617643584445
"genv.sui9513","Geneve","Switzerland","Western Europe",195000,38864,"46.2017559","6.1466014","Cfb","17.9","5.7","23.3",17,2,"1999-2001",2000,5.8,0,0,1615,18.1716775599129,-0.517507803400545,-0.374779404140602,0.309882440786874,-11.0191325890592,2.34866862122463,1.56876007214091,2.21616487759221,0.209603060394816,1.11716270058996,1.46371564833922,0.386729149680553,2.24354548360223,-0.722760385184697,20.166522985484
"genv.sui9513","Geneve","Switzerland","Western Europe",195000,38864,"46.2017559","6.1466014","Cfb","17.9","5.7","23.3",17,2,"2002-2004",2003,89.8,0,0,1646,18.6130718954248,1.02909372880809,0.429991791019541,1.38862659337003,1.09214191954294,1.06661363826811,0.697703767668978,0.92069957115714,0.728292189998462,0.592171045653793,0.645058395061112,0.61114146743804,0.863911632187107,0.637448527751341,0.723199815850056
"genv.sui9513","Geneve","Switzerland","Western Europe",195000,38864,"46.2017559","6.1466014","Cfb","17.9","5.7","23.3",17,2,"2005-2007",2006,37,1,2,1661,18.0555555555556,0.816036966018619,0.585990828897126,1.16555772902554,-0.417576054081368,1.53828764997285,1.01296615979689,1.36029301669382,0.820484933416869,0.757340067523774,0.878917475004488,0.735779496057285,1.30824533255507,0.483426544578056,1.80709467184333
"genv.sui9513","Geneve","Switzerland","Western Europe",195000,38864,"46.2017559","6.1466014","Cfb","17.9","5.7","23.3",17,2,"2008-2010",2009,19,1,2,1566,17.8178649237473,-0.605819538633022,-0.418097021918959,0.0924681173991888,-0.559181990377223,1.09209916375113,0.533993114021551,0.996286323026886,-0.281331662245152,0.355159761328781,0.487622663270661,0.126631874642968,1.06270598987058,-0.884046040617882,4.88328561710609
