city;country;cityname;countryname;pop;gdp;lat;long;kgclzone;kgclzone1;kgclzone2;Continent;Region;hwclass;hwscore;MeanST;Median;IQR;Range;trend
dnhg.net9516c;net9516c;Den Haag;Netherlands;515000;26214;52.0799838;4.3113461;Cfb;C;Cf;Europe;Western Europe;2;15;15.8;15.8;4.1;20.5;0.08
endh.net9516c;net9516c;Eindhoven;Netherlands;223000;26214;51.4392648;5.478633;Cfb;C;Cf;Europe;Western Europe;2;15;16.5;16.2;4.7;23;0.23
rttr.net9516c;net9516c;Rotterdam;Netherlands;624000;26214;51.9244424;4.47775;Cfb;C;Cf;Europe;Western Europe;2;15;16.1;16.1;4.3;21.4;0.16
utrc.net9516c;net9516c;Utrecht;Netherlands;334000;26214;52.0907006;5.1215634;Cfb;C;Cf;Europe;Western Europe;2;15;16.1;16;4.4;21.3;0.11
wars.pol9120;pol9120;Warsaw;Poland;1735442;4501;52.196217;21.178225;Cfb;C;Cf;Europe;Eastern Europe;1;10;16.9;17.1;5.7;25.9;0.73
krak.pol9120;pol9120;Krakow;Poland;761873;4501;50.049683;19.944544;Cfb;C;Cf;Europe;Eastern Europe;1;10;16.7;16.9;5.7;23.5;0.4
lodz.pol9120;pol9120;Lodz;Poland;706004;4501;51.759445;19.457216;Cfb;C;Cf;Europe;Eastern Europe;1;10;16.5;16.5;5.9;26.4;0.4
wroc.pol9120;pol9120;Wroclaw;Poland;634448;4501;51.107885;17.038538;Cfb;C;Cf;Europe;Eastern Europe;1;10;17.1;17.2;5.6;26.4;0.65
pozn.pol9120;pol9120;Poznan;Poland;545680;4501;52.409538;16.931992;Cfb;C;Cf;Europe;Eastern Europe;1;10;16.9;16.9;5.8;26.1;0.68
beja.por8018;por8018;Beja;Portugal;146748;11524;38.0154479;-7.8650368;Csa;C;Cs;Europe;Southern Europe;3;31;22;21.9;5.3;27.3;0.32
cmbr.por8018;por8018;Coimbra;Portugal;417741;11524;40.2111931;-8.4294632;Csb;C;Cs;Europe;Southern Europe;3;31;19.4;19.1;3.6;23.7;0.01
faro.por8018;por8018;Faro;Portugal;451679;11524;37.0162727;-7.9351771;Csa;C;Cs;Europe;Southern Europe;3;31;22.4;22.6;4.2;24.5;0.33
lisb.por8018;por8018;Lisboa;Portugal;2249708;11524;38.7077507;-9.1365919;Csa;C;Cs;Europe;Southern Europe;3;31;21.4;21.1;3.7;24.2;0.33
port.por8018;por8018;Porto;Portugal;1789527;11524;41.1494512;-8.6107884;Csb;C;Cs;Europe;Southern Europe;3;31;18.6;18.2;3.2;21.6;0.32
bchr.rom9416;rom9416;Bucharest;Romania;2110878;1659;44.4361414;26.1027202;Cfa;C;Cf;Europe;Eastern Europe;2;15;20;20.3;5.7;25.1;0.41
brsv.rom9416;rom9416;Brasov;Romania;291363;1659;45.6523093;25.6102746;Dfb;D;Df;Europe;Eastern Europe;2;15;16.6;17;5.2;25;0.61
clnp.rom9416;rom9416;Cluj-Napoca;Romania;321000;1659;46.769379;23.5899542;Dfb;D;Df;Europe;Eastern Europe;2;15;17.5;17.8;5.3;22.7;0.77
